7.7758 	EXP 	Created Fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.6, italic=False, name='Fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
7.7878 	EXP 	Created Break = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.09, italic=False, name='Break', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.7960 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.09, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=2)
7.8047 	EXP 	Recall_Phase_Instructions: autoDraw = True
20.4400 	DATA 	Keypress: t
20.4456 	EXP 	Imported CountDown.xlsx as conditions, 3 conditions, 1 params
20.4459 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
20.4462 	EXP 	New trial (rep=0, index=0): {u'CountDown': 3L}
20.4674 	EXP 	Recall_Phase_Instructions: autoDraw = False
20.4674 	EXP 	Countdown_Text: color = 'white (named)'
20.4674 	EXP 	Countdown_Text: text = 3L
20.4674 	EXP 	Countdown_Text: pos = array([ 0.,  0.])
20.4674 	EXP 	Countdown_Text: font = 'Arial'
20.4674 	EXP 	Countdown_Text: height = 0.2
20.4674 	EXP 	Countdown_Text: autoDraw = True
20.4674 	EXP 	Countdown_Text: text = u'3'
21.9382 	DATA 	Keypress: t
21.9390 	EXP 	New trial (rep=0, index=1): {u'CountDown': 2L}
21.9648 	EXP 	Countdown_Text: autoDraw = False
21.9648 	EXP 	Countdown_Text: color = 'white (named)'
21.9648 	EXP 	Countdown_Text: text = 2L
21.9648 	EXP 	Countdown_Text: pos = array([ 0.,  0.])
21.9648 	EXP 	Countdown_Text: font = 'Arial'
21.9648 	EXP 	Countdown_Text: height = 0.2
21.9648 	EXP 	Countdown_Text: autoDraw = True
21.9648 	EXP 	Countdown_Text: text = u'2'
23.4378 	DATA 	Keypress: t
23.4387 	EXP 	New trial (rep=0, index=2): {u'CountDown': 1L}
23.4564 	EXP 	Countdown_Text: autoDraw = False
23.4564 	EXP 	Countdown_Text: color = 'white (named)'
23.4564 	EXP 	Countdown_Text: text = 1L
